id,billing_date,billing_id,billing_document,billing_type,customer_number,sku,net_weight,weight_unit,country_code,country_name
824,2025-01-06,986,99,F2 (Invoice),416,29803,0.0,kg (Kilogram),CN,China
825,2025-01-06,986,99,F2 (Invoice),416,34629,22.413793103448278,kg (Kilogram),CN,China
826,2025-01-06,986,99,F2 (Invoice),416,34629,0.0,kg (Kilogram),CN,China
827,2025-01-06,986,99,F2 (Invoice),416,29806,46.55172413793103,kg (Kilogram),CN,China
828,2025-01-06,986,99,F2 (Invoice),416,29806,0.0,kg (Kilogram),CN,China
829,2025-01-06,986,99,F2 (Invoice),416,32033,3.103448275862069,kg (Kilogram),CN,China
830,2025-01-06,986,99,F2 (Invoice),416,32033,0.0,kg (Kilogram),CN,China
831,2025-01-06,986,99,F2 (Invoice),416,33781,51.724137931034484,kg (Kilogram),CN,China
832,2025-01-06,986,99,F2 (Invoice),416,33781,0.0,kg (Kilogram),CN,China
833,2025-01-06,986,99,F2 (Invoice),416,30917,55.172413793103445,kg (Kilogram),CN,China
834,2025-01-06,986,99,F2 (Invoice),416,30917,0.0,kg (Kilogram),CN,China
835,2025-01-06,986,99,F2 (Invoice),416,32336,24.137931034482758,kg (Kilogram),CN,China
836,2025-01-06,986,99,F2 (Invoice),416,32336,0.0,kg (Kilogram),CN,China
837,2025-01-06,986,99,F2 (Invoice),416,33772,51.724137931034484,kg (Kilogram),CN,China
838,2025-01-06,986,99,F2 (Invoice),416,33772,0.0,kg (Kilogram),CN,China
839,2025-01-06,986,99,F2 (Invoice),612,25471,144.82758620689654,kg (Kilogram),CN,China
840,2025-01-06,986,99,F2 (Invoice),612,25471,0.0,kg (Kilogram),CN,China
841,2025-01-06,986,99,F2 (Invoice),612,33668,832.7586206896551,kg (Kilogram),CN,China
842,2025-01-06,986,99,F2 (Invoice),612,33668,0.0,kg (Kilogram),CN,China
843,2025-01-06,986,99,F2 (Invoice),612,33668,0.0,kg (Kilogram),CN,China
844,2025-01-06,986,99,F2 (Invoice),612,33668,0.0,kg (Kilogram),CN,China
845,2025-01-06,986,99,F2 (Invoice),612,33892,103.44827586206897,kg (Kilogram),CN,China
846,2025-01-06,986,99,F2 (Invoice),612,33892,0.0,kg (Kilogram),CN,China
847,2025-01-06,986,99,F2 (Invoice),612,33892,0.0,kg (Kilogram),CN,China
848,2025-01-06,986,99,F2 (Invoice),612,33803,165.51724137931035,kg (Kilogram),CN,China
849,2025-01-06,986,99,F2 (Invoice),612,33803,0.0,kg (Kilogram),CN,China
850,2025-01-06,986,99,F2 (Invoice),612,33726,96.55172413793103,kg (Kilogram),CN,China
851,2025-01-06,986,99,F2 (Invoice),612,33726,0.0,kg (Kilogram),CN,China
852,2025-01-06,986,99,F2 (Invoice),612,34659,82.75862068965517,kg (Kilogram),CN,China
853,2025-01-06,986,99,F2 (Invoice),612,34659,0.0,kg (Kilogram),CN,China
854,2025-01-06,986,99,F2 (Invoice),612,34530,34.48275862068966,kg (Kilogram),CN,China
855,2025-01-06,986,99,F2 (Invoice),612,34530,0.0,kg (Kilogram),CN,China
856,2025-01-06,986,99,F2 (Invoice),612,34530,34.48275862068966,kg (Kilogram),CN,China
857,2025-01-06,986,99,F2 (Invoice),612,34530,0.0,kg (Kilogram),CN,China
858,2025-01-06,986,99,F2 (Invoice),612,33461,543.1034482758621,kg (Kilogram),CN,China
859,2025-01-06,986,99,F2 (Invoice),612,33461,0.0,kg (Kilogram),CN,China
860,2025-01-06,986,99,F2 (Invoice),612,33461,0.0,kg (Kilogram),CN,China
861,2025-01-06,986,99,F2 (Invoice),612,33803,82.75862068965517,kg (Kilogram),CN,China
862,2025-01-06,986,99,F2 (Invoice),612,33803,0.0,kg (Kilogram),CN,China
1258,2025-01-07,986,99,F2 (Invoice),203,34034,0.0,kg (Kilogram),CN,China
1259,2025-01-07,986,99,F2 (Invoice),203,30425,20.689655172413794,kg (Kilogram),CN,China
1260,2025-01-07,986,99,F2 (Invoice),203,30425,0.0,kg (Kilogram),CN,China
1261,2025-01-07,986,99,F2 (Invoice),203,32106,20.689655172413794,kg (Kilogram),CN,China
1262,2025-01-07,986,99,F2 (Invoice),203,32106,0.0,kg (Kilogram),CN,China
1263,2025-01-07,986,99,F2 (Invoice),203,29803,34.13793103448276,kg (Kilogram),CN,China
1264,2025-01-07,986,99,F2 (Invoice),203,29803,0.0,kg (Kilogram),CN,China
1265,2025-01-07,986,99,F2 (Invoice),203,30248,31.03448275862069,kg (Kilogram),CN,China
1266,2025-01-07,986,99,F2 (Invoice),203,30248,0.0,kg (Kilogram),CN,China
1267,2025-01-07,986,99,F2 (Invoice),203,29806,15.517241379310345,kg (Kilogram),CN,China
1268,2025-01-07,986,99,F2 (Invoice),203,29806,0.0,kg (Kilogram),CN,China
1269,2025-01-07,986,99,F2 (Invoice),203,29802,20.689655172413794,kg (Kilogram),CN,China
1270,2025-01-07,986,99,F2 (Invoice),203,29802,0.0,kg (Kilogram),CN,China
1271,2025-01-07,986,99,F2 (Invoice),203,34035,60.3448275862069,kg (Kilogram),CN,China
1272,2025-01-07,986,99,F2 (Invoice),203,34035,0.0,kg (Kilogram),CN,China
1273,2025-01-07,986,99,F2 (Invoice),203,30917,55.172413793103445,kg (Kilogram),CN,China
1274,2025-01-07,986,99,F2 (Invoice),203,30917,0.0,kg (Kilogram),CN,China
1275,2025-01-07,986,99,F2 (Invoice),203,33781,129.31034482758622,kg (Kilogram),CN,China
1276,2025-01-07,986,99,F2 (Invoice),203,33781,0.0,kg (Kilogram),CN,China
1277,2025-01-07,986,99,F2 (Invoice),203,29641,60.3448275862069,kg (Kilogram),CN,China
1278,2025-01-07,986,99,F2 (Invoice),203,29641,0.0,kg (Kilogram),CN,China
1279,2025-01-07,986,99,F2 (Invoice),847,34407,37.93103448275862,kg (Kilogram),CN,China
1280,2025-01-07,986,99,F2 (Invoice),847,34407,0.0,kg (Kilogram),CN,China
1281,2025-01-07,986,99,F2 (Invoice),847,33392,82.75862068965517,kg (Kilogram),CN,China
1282,2025-01-07,986,99,F2 (Invoice),847,33392,0.0,kg (Kilogram),CN,China
1283,2025-01-07,986,99,F2 (Invoice),847,33892,124.13793103448276,kg (Kilogram),CN,China
1284,2025-01-07,986,99,F2 (Invoice),847,33892,0.0,kg (Kilogram),CN,China
1285,2025-01-07,986,99,F2 (Invoice),847,34659,41.37931034482759,kg (Kilogram),CN,China
1286,2025-01-07,986,99,F2 (Invoice),847,34659,0.0,kg (Kilogram),CN,China
1287,2025-01-07,986,99,F2 (Invoice),847,32180,124.13793103448276,kg (Kilogram),CN,China
1288,2025-01-07,986,99,F2 (Invoice),847,32180,0.0,kg (Kilogram),CN,China
1289,2025-01-07,986,99,F2 (Invoice),847,34211,23.275862068965516,kg (Kilogram),CN,China
1290,2025-01-07,986,99,F2 (Invoice),847,34211,0.0,kg (Kilogram),CN,China
1291,2025-01-07,986,99,F2 (Invoice),847,33460,64.65517241379311,kg (Kilogram),CN,China
1292,2025-01-07,986,99,F2 (Invoice),847,33460,0.0,kg (Kilogram),CN,China
